Class	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Bacteria;Chloroflexi;Anaerolineae	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Gitt-GS-136	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;SHA-26	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;TK10	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia	0	0	2	2	11	0	0	1	55	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	3	0	0	1
Bacteria;Cyanobacteria;Vampirivibrionia	0	7	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	126	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	134	0
Bacteria;Desulfobacterota;?	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfobulbia	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfovibrionia	20	250	0	65	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	0	7	0	71	16	0	0	272	52	172	184	0	341	8	0	0	88	0	0	43	829	94	0	8	0	0	0	20	5	0	115	0	0	3	285	1	10	0	0	550	13
Bacteria;Firmicutes;?	9	10	6220	726	0	42	15	37625	146	194	96	215	401	26	243	788	16	222	1	660	398	19734	6790	7363	0	6643	1	1395	1481	0	20427	1	55	4	329	5	0	30	9	0	4	2	8977	5067	1	26	0	3	17	8	1968	0	18	5	9	62	13	585	6	5
Bacteria;Firmicutes;Bacilli	4784	1223	533	2501	1353	6657	783	23724	4756	43530	633	9805	26129	29102	15543	52326	2867	75135	6805	5310	27836	11978	570	2740	24	18658	166	49482	19959	1293	20226	17311	47509	3203	32928	382	5	18629	12164	368	3274	81139	893	19770	26683	678	6845	6247	8214	7723	12066	54482	50558	1588	6067	3681	12431	4246	738	988
Bacteria;Firmicutes;Clostridia	120800	99518	54	56524	3278	170544	128080	89880	44291	2130	57435	3516	70389	963	68824	5586	12	6230	53728	103492	69266	109333	108949	108238	381	71578	51780	93042	72583	77244	52774	98973	65760	41427	13360	56725	109	133496	81989	90343	109343	37032	98487	89158	75934	84256	75523	68746	88442	98165	105651	29672	93009	74799	114795	82879	96529	55453	119357	153068
Bacteria;Firmicutes;Erysipelotrichi	166	16	0	0	28	163	0	87	0	0	14	0	24	0	77	3	0	0	0	19	16	6	3	136	0	3	1	9	9	1	0	11	2	3	0	0	0	0	7	2	18	0	1	7	4	74	0	5	15	4	7	4	16	0	5	5	22	16	38	92
Bacteria;Firmicutes;Incertae Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes	246	269	0	3862	398	263	11868	493	6613	2	75	0	688	0	101	120	5	59	40054	20	1754	9	2245	887	73	7429	379	98	189	10	1295	82	728	116778	2	1547	0	61	25	462	2003	2	17	1351	2916	153	995	531	12	5204	3798	383	138	447	47	1066	1329	1913	4222	159
Bacteria;Fusobacteriota;Fusobacteriia	0	3	0	50	0	0	19	7	16	0	0	0	9	0	2	14	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	7	0	4	0	7	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	1	0
